รหัสสินค้า,หมวดสินค้า,ชื่อสินค้า,ประเภทสินค้า,ประเภทสินค้าย่อย,หน่วยนับ,ราคาทุนต่อหน่วย,ราคาขายต่อหน่วย,ยอดยกมา,มูลค่ายกมา,รหัสร้านค้า,รูปสินค้า,flag_activate,admin_note
P230-000396,วัสดุใช้ไป,สวิทช์ไฟ แบบฝัง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,25,,0,0,,,TRUE,
P230-000397,วัสดุใช้ไป,สาย HDMI ขนาด 3 เมตร,วัสดุไฟฟ้า,วัสดุไฟฟ้า,เส้น,95,,0,0,,,TRUE,
P230-000398,วัสดุใช้ไป,สาย HDMI ขนาด 5 เมตร,วัสดุไฟฟ้า,วัสดุไฟฟ้า,เส้น,155,,0,0,,,TRUE,
P230-000399,วัสดุใช้ไป,สายดิน ขนาด 1*2.5 สีขาว,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ม้วน,950,,0,0,,,TRUE,
P230-000400,วัสดุใช้ไป,สายดิน ขนาด 1*2.5 สีดำ,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ม้วน,950,,0,0,,,TRUE,
P230-000401,วัสดุใช้ไป,สายดิน,วัสดุไฟฟ้า,วัสดุไฟฟ้า,ม้วน,950,,0,0,,,TRUE,
P230-000402,วัสดุใช้ไป,หน้ากากปลั๊กไฟ แบบ 2 ช่อง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,20,,0,0,,,TRUE,
P230-000403,วัสดุใช้ไป,หน้ากากปลั๊กไฟ แบบ 3 ช่อง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,15,,0,0,,,TRUE,
P230-000404,วัสดุใช้ไป,หน้ากากปลั๊กไฟ แบบ 6 ช่อง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,33,,0,0,,,TRUE,
P230-000405,วัสดุใช้ไป,ยกเลิก หลอดไฟ ชนิด LED ขนาด 18 W,วัสดุไฟฟ้า,วัสดุไฟฟ้า,หลอด,72,,0,0,,,FALSE,
P230-000406,วัสดุใช้ไป,ยกเลิก หลอดไฟ ชนิด LED ขนาด 22 W,วัสดุไฟฟ้า,วัสดุไฟฟ้า,หลอด,155,,0,0,,,FALSE,
P230-000407,วัสดุใช้ไป,หลอดไฟ ชนิดนีออน ขนาด 36 W,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,95,,0,0,,,TRUE,
P230-000408,วัสดุใช้ไป,ปลั๊กไฟ แบบฝัง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,115,,0,0,,,TRUE,
P230-000409,วัสดุใช้ไป,หน้ากากปลั๊กไฟ แบบ 1 ช่อง,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,15,,0,0,,,TRUE,
P230-000410,วัสดุใช้ไป,ไฟฉาย แบบหลอดไส้,วัสดุไฟฟ้า,วัสดุไฟฟ้า,อัน,250,,0,0,,,TRUE,
